param,effectiveSampleSize,potentialScaleReductionFactor
q_ind_0_pop_0,3556.13,1.000
q_ind_1_pop_0,9378.11,1.000
q_ind_2_pop_0,2346.00,1.000
q_ind_3_pop_0,5830.61,1.002
q_ind_4_pop_0,8320.58,1.000
q_ind_5_pop_0,4496.56,1.000
q_ind_6_pop_0,5452.84,1.000
q_ind_7_pop_0,4544.20,1.000
q_ind_8_pop_0,6185.51,1.000
q_ind_9_pop_0,3582.67,1.000
q_ind_10_pop_0,152.89,1.007
q_ind_11_pop_0,5166.40,1.000
q_ind_12_pop_0,5196.83,1.000
q_ind_13_pop_0,7097.68,1.000
q_ind_14_pop_0,6837.65,1.000
q_ind_15_pop_0,6275.42,1.000
q_ind_16_pop_0,5766.62,1.001
q_ind_17_pop_0,6343.00,1.000
q_ind_18_pop_0,2958.43,1.000
q_ind_19_pop_0,6947.30,1.000
q_ind_20_pop_0,2849.00,1.000
q_ind_21_pop_0,9955.32,1.000
q_ind_22_pop_0,8951.49,1.000
q_ind_23_pop_0,4508.71,1.000
q_ind_24_pop_0,9555.96,1.000
q_ind_25_pop_0,1464.34,1.000
q_ind_26_pop_0,4753.20,1.001
q_ind_27_pop_0,6489.50,1.000
q_ind_28_pop_0,6920.05,1.001
q_ind_29_pop_0,1874.46,1.001
q_ind_30_pop_0,4807.50,1.000
q_ind_31_pop_0,8798.37,1.000
q_ind_32_pop_0,9915.29,1.000
q_ind_33_pop_0,4214.17,1.000
q_ind_34_pop_0,5640.66,1.000
q_ind_35_pop_0,9869.57,1.000
q_ind_36_pop_0,6629.24,1.000
q_ind_37_pop_0,5501.56,1.001
q_ind_38_pop_0,2097.89,1.000
q_ind_39_pop_0,7801.84,1.000
q_ind_40_pop_0,5961.83,1.000
q_ind_41_pop_0,9376.99,1.000
q_ind_42_pop_0,7976.41,1.000
q_ind_43_pop_0,11075.90,1.000
q_ind_44_pop_0,4934.06,1.000
q_ind_45_pop_0,934.01,1.000
q_ind_46_pop_0,5542.30,1.000
q_ind_47_pop_0,6289.72,1.001
q_ind_48_pop_0,9858.26,1.000
q_ind_49_pop_0,6313.36,1.000
q_ind_50_pop_0,4018.72,1.000
q_ind_51_pop_0,3703.04,1.000
q_ind_52_pop_0,6672.27,1.000
q_ind_53_pop_0,7126.56,1.000
q_ind_54_pop_0,4865.58,1.000
q_ind_55_pop_0,7074.17,1.000
q_ind_56_pop_0,4116.11,1.000
q_ind_57_pop_0,6230.00,1.000
q_ind_58_pop_0,6078.29,1.000
q_ind_59_pop_0,6498.32,1.000
q_ind_60_pop_0,5155.69,1.000
q_ind_61_pop_0,2887.82,1.000
q_ind_62_pop_0,5730.32,1.000
q_ind_63_pop_0,7729.93,1.000
q_ind_64_pop_0,1144.69,1.005
q_ind_65_pop_0,8089.68,1.000
q_ind_66_pop_0,5278.69,1.000
q_ind_67_pop_0,11788.06,1.000
q_ind_68_pop_0,8288.56,1.000
q_ind_69_pop_0,8595.88,1.000
q_ind_70_pop_0,7043.58,1.000
q_ind_71_pop_0,1057.04,1.004
q_ind_72_pop_0,5176.90,1.001
q_ind_73_pop_0,3332.08,1.000
q_ind_74_pop_0,577.88,1.001
q_ind_75_pop_0,550.05,1.001
q_ind_76_pop_0,2357.71,1.001
q_ind_77_pop_0,794.40,1.000
q_ind_78_pop_0,2825.36,1.000
q_ind_79_pop_0,2050.54,1.000
q_ind_80_pop_0,2282.94,1.000
q_ind_81_pop_0,4139.24,1.000
q_ind_82_pop_0,6860.61,1.000
q_ind_83_pop_0,8508.67,1.001
q_ind_84_pop_0,3728.75,1.001
q_ind_85_pop_0,2225.73,1.001
q_ind_86_pop_0,6636.52,1.000
q_ind_87_pop_0,9882.09,1.000
q_ind_88_pop_0,2184.43,1.000
q_ind_89_pop_0,8280.25,1.000
q_ind_90_pop_0,2196.06,1.001
q_ind_91_pop_0,4286.59,1.000
q_ind_92_pop_0,1840.17,1.001
q_ind_93_pop_0,7103.91,1.000
q_ind_94_pop_0,4295.69,1.000
q_ind_95_pop_0,5433.03,1.000
q_ind_96_pop_0,6793.35,1.000
q_ind_97_pop_0,8090.46,1.000
q_ind_98_pop_0,7218.16,1.000
q_ind_99_pop_0,9631.00,1.000
q_ind_100_pop_0,7832.48,1.000
q_ind_101_pop_0,3853.51,1.001
q_ind_102_pop_0,6875.35,1.000
q_ind_103_pop_0,5909.52,1.000
q_ind_104_pop_0,10374.66,1.000
q_ind_105_pop_0,5253.47,1.000
q_ind_106_pop_0,3194.50,1.000
q_ind_107_pop_0,5624.79,1.000
q_ind_108_pop_0,7266.21,1.000
q_ind_109_pop_0,6132.77,1.000
q_ind_110_pop_0,5388.13,1.000
q_ind_111_pop_0,10095.14,1.001
q_ind_112_pop_0,3330.49,1.000
q_ind_113_pop_0,4650.69,1.000
q_ind_114_pop_0,10347.29,1.000
q_ind_115_pop_0,8757.39,1.000
q_ind_116_pop_0,3527.72,1.000
q_ind_117_pop_0,3717.17,1.000
q_ind_118_pop_0,4645.78,1.000
q_ind_119_pop_0,7345.72,1.000
q_ind_120_pop_0,9369.18,1.000
q_ind_121_pop_0,6612.14,1.000
q_ind_122_pop_0,3696.74,1.001
q_ind_123_pop_0,10109.90,1.000
q_ind_124_pop_0,8067.33,1.000
q_ind_125_pop_0,7385.42,1.000
q_ind_126_pop_0,1360.76,1.000
q_ind_127_pop_0,7696.61,1.000
q_ind_128_pop_0,4932.42,1.000
q_ind_129_pop_0,6099.34,1.000
q_ind_130_pop_0,11025.42,1.000
q_ind_131_pop_0,4235.11,1.000
q_ind_132_pop_0,4638.90,1.001
q_ind_133_pop_0,5483.30,1.000
q_ind_134_pop_0,9431.94,1.000
q_ind_135_pop_0,6392.22,1.001
q_ind_136_pop_0,3930.13,1.000
q_ind_137_pop_0,7500.30,1.000
q_ind_138_pop_0,8373.28,1.000
q_ind_139_pop_0,4349.29,1.000
q_ind_140_pop_0,1431.76,1.002
q_ind_141_pop_0,6611.39,1.000
q_ind_142_pop_0,2571.55,1.001
q_ind_143_pop_0,5985.29,1.000
q_ind_144_pop_0,7735.02,1.000
q_ind_145_pop_0,5971.82,1.000
q_ind_146_pop_0,5670.78,1.000
q_ind_147_pop_0,5089.93,1.000
q_ind_148_pop_0,4755.54,1.001
q_ind_149_pop_0,8227.52,1.000
q_ind_150_pop_0,9454.55,1.000
q_ind_151_pop_0,7396.46,1.000
q_ind_152_pop_0,7801.04,1.000
q_ind_153_pop_0,7570.96,1.000
q_ind_154_pop_0,8078.17,1.000
q_ind_155_pop_0,6752.88,1.000
q_ind_156_pop_0,6440.92,1.000
q_ind_157_pop_0,12007.86,1.000
q_ind_158_pop_0,8995.65,1.000
q_ind_159_pop_0,8681.40,1.000
q_ind_160_pop_0,9264.45,1.000
q_ind_161_pop_0,10726.61,1.000
q_ind_162_pop_0,8704.52,1.000
q_ind_163_pop_0,8850.37,1.000
q_ind_164_pop_0,7219.87,1.000
q_ind_165_pop_0,8436.30,1.000
q_ind_166_pop_0,5764.72,1.000
q_ind_167_pop_0,9336.36,1.000
q_ind_168_pop_0,8124.87,1.000
q_ind_169_pop_0,2033.02,1.000
q_ind_170_pop_0,890.68,1.003
q_ind_171_pop_0,4649.47,1.000
q_ind_172_pop_0,1208.58,1.001
q_ind_173_pop_0,9711.12,1.000
q_ind_174_pop_0,6239.62,1.000
q_ind_175_pop_0,9791.74,1.000
q_ind_176_pop_0,10323.96,1.000
q_ind_177_pop_0,2617.34,1.000
q_ind_178_pop_0,2939.40,1.001
q_ind_179_pop_0,1282.78,1.001
q_ind_180_pop_0,9561.04,1.000
q_ind_181_pop_0,7615.72,1.000
q_ind_182_pop_0,7366.00,1.000
q_ind_183_pop_0,6956.60,1.000
q_ind_184_pop_0,5131.94,1.000
q_ind_185_pop_0,6433.03,1.000
q_ind_186_pop_0,6258.20,1.000
q_ind_187_pop_0,4700.39,1.000
q_ind_188_pop_0,6472.69,1.000
q_ind_189_pop_0,5208.72,1.000
