param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_0_pop_0,0.000008,0.000000,0.000000,0.000053
q_ind_1_pop_0,0.000004,0.000000,0.000000,0.000020
q_ind_2_pop_0,0.000016,0.000000,0.000000,0.000102
q_ind_3_pop_0,0.000007,0.000000,0.000000,0.000039
q_ind_4_pop_0,0.000003,0.000000,0.000000,0.000024
q_ind_5_pop_0,0.000007,0.000000,0.000000,0.000034
q_ind_6_pop_0,0.000005,0.000000,0.000000,0.000024
q_ind_7_pop_0,0.000006,0.000000,0.000000,0.000030
q_ind_8_pop_0,0.000004,0.000000,0.000000,0.000028
q_ind_9_pop_0,0.000008,0.000000,0.000000,0.000044
q_ind_10_pop_0,0.000823,0.000000,0.000000,0.006664
q_ind_11_pop_0,0.000004,0.000000,0.000000,0.000019
q_ind_12_pop_0,0.000006,0.000000,0.000000,0.000035
q_ind_13_pop_0,0.000004,0.000000,0.000000,0.000021
q_ind_14_pop_0,0.000005,0.000000,0.000000,0.000025
q_ind_15_pop_0,0.000004,0.000000,0.000000,0.000021
q_ind_16_pop_0,0.000006,0.000000,0.000000,0.000034
q_ind_17_pop_0,0.000004,0.000000,0.000000,0.000020
q_ind_18_pop_0,0.000012,0.000000,0.000000,0.000084
q_ind_19_pop_0,0.000004,0.000000,0.000000,0.000019
q_ind_20_pop_0,0.000010,0.000000,0.000000,0.000047
q_ind_21_pop_0,0.000003,0.000000,0.000000,0.000015
q_ind_22_pop_0,0.000003,0.000000,0.000000,0.000015
q_ind_23_pop_0,0.000005,0.000000,0.000000,0.000027
q_ind_24_pop_0,0.000003,0.000000,0.000000,0.000018
q_ind_25_pop_0,0.000026,0.000000,0.000000,0.000185
q_ind_26_pop_0,0.000007,0.000000,0.000000,0.000042
q_ind_27_pop_0,0.000004,0.000000,0.000000,0.000021
q_ind_28_pop_0,0.000005,0.000000,0.000000,0.000031
q_ind_29_pop_0,0.000013,0.000000,0.000000,0.000058
q_ind_30_pop_0,0.000006,0.000000,0.000000,0.000033
q_ind_31_pop_0,0.000003,0.000000,0.000000,0.000018
q_ind_32_pop_0,0.000003,0.000000,0.000000,0.000015
q_ind_33_pop_0,0.000007,0.000000,0.000000,0.000035
q_ind_34_pop_0,0.000006,0.000000,0.000000,0.000030
q_ind_35_pop_0,0.000002,0.000000,0.000000,0.000016
q_ind_36_pop_0,0.000004,0.000000,0.000000,0.000018
q_ind_37_pop_0,0.000006,0.000000,0.000000,0.000034
q_ind_38_pop_0,0.000015,0.000000,0.000000,0.000090
q_ind_39_pop_0,0.000003,0.000000,0.000000,0.000015
q_ind_40_pop_0,0.000005,0.000000,0.000000,0.000031
q_ind_41_pop_0,0.000003,0.000000,0.000000,0.000019
q_ind_42_pop_0,0.000003,0.000000,0.000000,0.000019
q_ind_43_pop_0,0.000002,0.000000,0.000000,0.000013
q_ind_44_pop_0,0.000006,0.000000,0.000000,0.000038
q_ind_45_pop_0,0.000012,0.000000,0.000000,0.000050
q_ind_46_pop_0,0.000006,0.000000,0.000000,0.000031
q_ind_47_pop_0,0.000006,0.000000,0.000000,0.000031
q_ind_48_pop_0,0.000003,0.000000,0.000000,0.000013
q_ind_49_pop_0,0.000006,0.000000,0.000000,0.000033
q_ind_50_pop_0,0.000007,0.000000,0.000000,0.000036
q_ind_51_pop_0,0.000007,0.000000,0.000000,0.000037
q_ind_52_pop_0,0.000005,0.000000,0.000000,0.000027
q_ind_53_pop_0,0.000005,0.000000,0.000000,0.000025
q_ind_54_pop_0,0.000006,0.000000,0.000000,0.000038
q_ind_55_pop_0,0.000004,0.000000,0.000000,0.000028
q_ind_56_pop_0,0.000007,0.000000,0.000000,0.000036
q_ind_57_pop_0,0.000005,0.000000,0.000000,0.000026
q_ind_58_pop_0,0.000005,0.000000,0.000000,0.000025
q_ind_59_pop_0,0.000005,0.000000,0.000000,0.000031
q_ind_60_pop_0,0.000006,0.000000,0.000000,0.000033
q_ind_61_pop_0,0.000012,0.000000,0.000000,0.000071
q_ind_62_pop_0,0.000005,0.000000,0.000000,0.000024
q_ind_63_pop_0,0.000003,0.000000,0.000000,0.000017
q_ind_64_pop_0,0.000040,0.000000,0.000000,0.000300
q_ind_65_pop_0,0.000004,0.000000,0.000000,0.000017
q_ind_66_pop_0,0.000004,0.000000,0.000000,0.000022
q_ind_67_pop_0,0.000003,0.000000,0.000000,0.000015
q_ind_68_pop_0,0.000003,0.000000,0.000000,0.000014
q_ind_69_pop_0,0.000003,0.000000,0.000000,0.000016
q_ind_70_pop_0,0.000003,0.000000,0.000000,0.000016
q_ind_71_pop_0,0.000030,0.000000,0.000000,0.000142
q_ind_72_pop_0,0.000006,0.000000,0.000000,0.000034
q_ind_73_pop_0,0.000008,0.000000,0.000000,0.000045
q_ind_74_pop_0,0.000060,0.000000,0.000000,0.000358
q_ind_75_pop_0,0.000103,0.000000,0.000000,0.001414
q_ind_76_pop_0,0.000016,0.000000,0.000000,0.000159
q_ind_77_pop_0,0.000052,0.000000,0.000000,0.000551
q_ind_78_pop_0,0.000012,0.000000,0.000000,0.000065
q_ind_79_pop_0,0.000018,0.000000,0.000000,0.000109
q_ind_80_pop_0,0.000015,0.000000,0.000000,0.000066
q_ind_81_pop_0,0.000009,0.000000,0.000000,0.000050
q_ind_82_pop_0,0.000003,0.000000,0.000000,0.000016
q_ind_83_pop_0,0.000004,0.000000,0.000000,0.000021
q_ind_84_pop_0,0.000009,0.000000,0.000000,0.000050
q_ind_85_pop_0,0.000014,0.000000,0.000000,0.000081
q_ind_86_pop_0,0.000005,0.000000,0.000000,0.000024
q_ind_87_pop_0,0.000003,0.000000,0.000000,0.000018
q_ind_88_pop_0,0.000012,0.000000,0.000000,0.000070
q_ind_89_pop_0,0.000003,0.000000,0.000000,0.000020
q_ind_90_pop_0,0.000015,0.000000,0.000000,0.000082
q_ind_91_pop_0,0.000006,0.000000,0.000000,0.000041
q_ind_92_pop_0,0.000007,0.000000,0.000000,0.000038
q_ind_93_pop_0,0.000004,0.000000,0.000000,0.000027
q_ind_94_pop_0,0.000006,0.000000,0.000000,0.000034
q_ind_95_pop_0,0.000005,0.000000,0.000000,0.000031
q_ind_96_pop_0,0.000004,0.000000,0.000000,0.000020
q_ind_97_pop_0,0.000003,0.000000,0.000000,0.000020
q_ind_98_pop_0,0.000004,0.000000,0.000000,0.000025
q_ind_99_pop_0,0.000003,0.000000,0.000000,0.000016
q_ind_100_pop_0,0.000003,0.000000,0.000000,0.000021
q_ind_101_pop_0,0.000007,0.000000,0.000000,0.000034
q_ind_102_pop_0,0.000004,0.000000,0.000000,0.000015
q_ind_103_pop_0,0.000006,0.000000,0.000000,0.000029
q_ind_104_pop_0,0.000003,0.000000,0.000000,0.000013
q_ind_105_pop_0,0.000006,0.000000,0.000000,0.000042
q_ind_106_pop_0,0.000010,0.000000,0.000000,0.000059
q_ind_107_pop_0,0.000005,0.000000,0.000000,0.000024
q_ind_108_pop_0,0.000004,0.000000,0.000000,0.000023
q_ind_109_pop_0,0.000005,0.000000,0.000000,0.000025
q_ind_110_pop_0,0.000007,0.000000,0.000000,0.000044
q_ind_111_pop_0,0.000003,0.000000,0.000000,0.000015
q_ind_112_pop_0,0.000006,0.000000,0.000000,0.000034
q_ind_113_pop_0,0.000006,0.000000,0.000000,0.000031
q_ind_114_pop_0,0.000002,0.000000,0.000000,0.000013
q_ind_115_pop_0,0.000004,0.000000,0.000000,0.000024
q_ind_116_pop_0,0.000009,0.000000,0.000000,0.000051
q_ind_117_pop_0,0.000010,0.000000,0.000000,0.000068
q_ind_118_pop_0,0.000006,0.000000,0.000000,0.000033
q_ind_119_pop_0,0.000003,0.000000,0.000000,0.000020
q_ind_120_pop_0,0.000003,0.000000,0.000000,0.000022
q_ind_121_pop_0,0.000004,0.000000,0.000000,0.000025
q_ind_122_pop_0,0.000009,0.000000,0.000000,0.000044
q_ind_123_pop_0,0.000003,0.000000,0.000000,0.000014
q_ind_124_pop_0,0.000003,0.000000,0.000000,0.000017
q_ind_125_pop_0,0.000004,0.000000,0.000000,0.000022
q_ind_126_pop_0,0.000029,0.000000,0.000000,0.000154
q_ind_127_pop_0,0.000004,0.000000,0.000000,0.000019
q_ind_128_pop_0,0.000007,0.000000,0.000000,0.000034
q_ind_129_pop_0,0.000005,0.000000,0.000000,0.000027
q_ind_130_pop_0,0.000003,0.000000,0.000000,0.000015
q_ind_131_pop_0,0.000006,0.000000,0.000000,0.000028
q_ind_132_pop_0,0.000005,0.000000,0.000000,0.000023
q_ind_133_pop_0,0.000005,0.000000,0.000000,0.000025
q_ind_134_pop_0,0.000003,0.000000,0.000000,0.000013
q_ind_135_pop_0,0.000004,0.000000,0.000000,0.000023
q_ind_136_pop_0,0.000009,0.000000,0.000000,0.000061
q_ind_137_pop_0,0.000003,0.000000,0.000000,0.000021
q_ind_138_pop_0,0.000003,0.000000,0.000000,0.000018
q_ind_139_pop_0,0.000006,0.000000,0.000000,0.000036
q_ind_140_pop_0,0.000018,0.000000,0.000000,0.000095
q_ind_141_pop_0,0.000003,0.000000,0.000000,0.000019
q_ind_142_pop_0,0.000012,0.000000,0.000000,0.000064
