Filename,Size
EE_AG_AH0131_1.fastq.gz,270461
EE_AG_AH0132_2.fastq.gz,455229
EE_AG_AH0133_3.fastq.gz,2292715
EE_AG_AH0134_4.fastq.gz,1545680
EE_AG_AH0135_5.fastq.gz,1462696
EE_AG_AH0137_6.fastq.gz,267721652
EE_AG_AS0230_7.fastq.gz,263531095
EE_AG_AS0231_8.fastq.gz,307627
EE_AG_AS0233_9.fastq.gz,121395064
EE_AG_AS0234_10.fastq.gz,111198894
EE_AG_AS0238_11.fastq.gz,229535921
EE_AG_BM0330_12.fastq.gz,94818
EE_AG_BM0332_13.fastq.gz,98180751
EE_AG_BM0334_14.fastq.gz,3970604
EE_AG_BM0335_15.fastq.gz,115397369
EE_AG_BM0336_16.fastq.gz,125407315
EE_AG_BM0337_17.fastq.gz,144087208
EE_AG_BM0339_18.fastq.gz,2894365
EE_AG_BV0430_19.fastq.gz,230997343
EE_AG_BV0432_20.fastq.gz,147104763
EE_AG_BV0434_21.fastq.gz,2207644
EE_AG_BV0435_22.fastq.gz,179125534
EE_AG_BV0436_23.fastq.gz,268171325
EE_AG_BV0437_24.fastq.gz,7882424
EE_AG_BV0438_25.fastq.gz,4476597
EE_AG_BV0439_26.fastq.gz,15798999
EE_AG_DH0530_27.fastq.gz,250856043
EE_AG_DH0531_28.fastq.gz,127360218
EE_AG_DH0532_29.fastq.gz,178147115
EE_AG_DH0533_30.fastq.gz,205305541
EE_AG_DH0534_31.fastq.gz,166320590
EE_AG_DH0535_32.fastq.gz,32643256
EE_AG_DH0536_33.fastq.gz,678663
EE_AG_DH0537_34.fastq.gz,345805289
EE_AG_DH0539_35.fastq.gz,2315172
EE_AG_EW0630_36.fastq.gz,210145450
EE_AG_EW0632_37.fastq.gz,487391
EE_AG_EW0633_38.fastq.gz,324259165
EE_AG_EW0634_39.fastq.gz,398842065
EE_AG_EW0635_40.fastq.gz,208695504
EE_AG_EW0636_41.fastq.gz,318148952
EE_AG_EW0637_42.fastq.gz,58234263
EE_AG_EW0638_43.fastq.gz,189296520
EE_AG_EW0639_44.fastq.gz,263388189
EE_AG_FR0730_45.fastq.gz,495017240
EE_AG_FR0732_46.fastq.gz,13206244
EE_AG_FR0733_47.fastq.gz,27775174
EE_AG_FR0734_48.fastq.gz,264519341
EE_AG_FR0735_49.fastq.gz,179063351
EE_AG_FR0736_50.fastq.gz,336260395
EE_AG_FR0737_51.fastq.gz,379060801
